Data;CAMBIOREAL;CDS_5_ANOS;PASSEXTERNO;TOTL;VIXFINAL;DIVBRUTA;SWAPREAL;D0804;;projeções de cambio;;;;;;;;;;;
2014Q3;88,61666667;145,84;0,344524579;106,07;15,08;0,580333333;0,043674233;0;;;;;;;;;;;;;
2014Q4;94,83333333;172,96;0,328391159;102,3033333;15,52;0,592833333;0,048839343;0;;;;;;;;;;;;;
2015Q1;99,68;244,667;0,288497909;97,49333333;16,53;0,617133333;0,052111399;0;;;;;;;;;;;;;
2015Q2;104,3133333;243,2423;0,330720008;93,18333333;15,54;0,645633333;0,062678843;0;;;;;;;;;;;;;
2015Q3;118,48;353,1457;0,240878977;92,55333333;21,37;0,6762;0,073132542;0;;;;;;;;;;;;;
2015Q4;123,8466667;443;0,270495314;90,81333333;16,47;0,695766667;0,068528292;0;;;;;;;;;;;;;
2016Q1;118,4366667;453,3333;0,337516819;88,13666667;18;0,715433333;0,054718417;0;;;;;;;;;;;;;
2016Q2;107,85;346;0,383693266;94,54333333;15,04;0,723;0,059216117;0;;;;;;;;;;;;;
2016Q3;98,94666667;277,3333;0,38;98,79666667;13,39;0,7318;0,067290892;0;;;;;;;;;;;;;
2016Q4;97,46333333;280,3333;0,38;101,6766667;14,67;0,755666667;0,063937104;0;;;;;;;;;;;;;
2017Q1;92,19;233;0,37;105,79;12,43;0,781033333;0,049394118;0;;92,19;;;;;;;;;;;
2017Q2;96,01666667;231,3333;0,37;99,99666667;10,89;0,798466667;0,04040831;0;;96,01666667;;;;;;;;;;;
2017Q3;97,43333333;200;0,36;98,81;10,5;0,806133333;0,032582306;0;;97,43333333;;;;;;;;;;;
2017Q4;99,67;163,6667;0,36;100,5633333;9,8;0,822;0,033037424;0;;99,67;;;;;;;;;;;
2018Q1;101,3466667;152,3333;0,36;101,28;20;0,841;0,025926298;0;;101,3466667;;;;;;;;;;;
2018Q2;109,1566667;222,3333;0,36;99,46666667;12;0,861;0,029951573;0;;109,1566667;;;;;;;;;;;
2018Q3;113,9866667;253,6667;0,36;99,93333333;21;85,6;0,034155784;0;;113,9866667;;;;;;;;;;;
2018Q4;107,51;191,6667;0,36;99,39333333;16;0,861;0,026005072;0;;107,51;;;;;;;;;;;
2019Q1;106,5266667;165,6667;0,37;98,66333333;13;0,863;0,026336076;0;;106,5266667;;;;;;;;1,12;4910892;5500199,04;
2019Q2;109,12;165,6667;0,37;100,4266667;13;0,862;0,023171962;0;;109,12;;;;;;;;1,1;4843135;5327448,5;4843135
2019Q3;110,06;137;0,37;101,93;16;0,876;0,015;0;;110,06;;;;;;;;1,115;4745456;5291183,44;4745456
2019Q4;112,47;120;0,38;99,58666667;18;0,882;0,010243899;0;;112,47;;4,64;120,77;;;;;1,109;4647673;5154269,357;4647673
2020Q1;120,77;166;0,38;100,2666667;24;0,886;0,0056;0;;120,77;;x;101,7;0,001438471;;;;1,09;4888260;5328203,4;4888260
2020Q2;131,0976906;273;0,37;96,65333333;24;0,886;-0,003875969;0;;131,0976906;;;;-0,000825805;;;;1,12;4430750;4962440;4430750
2020Q3;148;225;0,37;98,71666667;24;0,886;-0,004365939;0;;139,3514021;;3,907327979;;-0,001384238;;;;1,17;4527815;5297543,55;4527815
2020Q4;148;174;0,37;107,5633333;24;0,886;-0,001572955;0;;153,0754853;;;;-0,001243021;;;;1,22;4504722;5495760,84;4504722
2021Q1;149,35;194;0,37;116,8;24;0,886;0,0017;0;;142,8159795;;;;0,00183;;;;;;;
2021Q2;143,97;172;0,37;116,5466667;24;0,886;0,02176;0;;138,1498043;;;;0,002882844;;;;;;;
2021Q3;127,4078769;180;0,36;116;24;0,886;0,0267;0;;127,4078769;;;;0,003708946;;;;;;;
2021Q4;126,5600403;180;0,37;115;24;0,886;0,017333506;0;;126,5600403;;;;0,004333377;;;;;;;
2022Q1;131,77942;180;0,37;114;24;0,886;0,018748307;0;;131,77942;;;;0,004687077;;;;;;;
