Data;CAMBIOREAL;CDS_5_ANOS;PASSEXTERNO;TOTL;VIXFINAL;DIVBRUTA;SWAPREAL;D0804
2018Q1;101,3466667;152,3333;0,36;101,28;20;0,826366667;0,025926298;0
2018Q2;109,1566667;222,3333;0,36;99,46666667;12;0,847133333;0,029951573;0
2018Q3;113,9866667;253,6667;0,36;99,93333333;21;0,843966667;0,034155784;0
2018Q4;107,51;191,6667;0,36;99,39333333;16;0,840433333;0,025861253;0
2019Q1;106,5266667;165,6667;0,37;98,66333333;13;0,841833333;0,026202409;0
2019Q2;109,12;165,6667;0,37;100,4266667;13;0,842966667;0,022386219;0
2019Q3;110,06;137;0,37;101,93;16;0,850766667;0,016;0
2019Q4;112,47;120;0,38;99,58666667;18;0,862333333;0,01;0
2020Q1;120,77;166;0,38;100,2666667;27;0,8635;0,0056;0
2020Q2;143,49;300;0,37;96,65333333;20;0,8819;-0,003875969;0
2020Q3;148,15;200;0,37;98,71666667;18;0,894333333;-0,004365939;0
2020q4;147,9;174;0,36;107,5633333;27;0,9408;-0,001572955;0
2021q1;149,35;194;0,36;116,8;25;0,961066667;0,0017;0
2021q2;143,97;174;0,36;116,5466667;16,6;0,9203;0,0193;0
2021q3;140;183;0,36;117;19;0,910433333;0,036;0
2021q4;144,6;233;0,36;106;17,3;0,894;0,0628;0
2022q1;134,6;216;0,38;106,81;24,6;0,891533333;0,0706;0
2022q2;121,94;250;0,38;105,3;24;0,881033333;0,077;0
2022q3;129,8;273;0,37;108,15;22,2;0,859433333;0,077;0
2022q4;128;259;0,37;106;20,6;0,8483;0,0769;0
2023q1;129;225;0,37;105,6;20,3;0,830833333;0,0713;0
